"","Lat","Long","YY","Ex","Pf","PfPR2_10","LoAge","UpAge"
"945",-10.8722,33.9908,2006,41,10,28.58,0,3
"946",-10.8722,33.9908,2007,33,2,7.28,7,27
"947",-10.9052,34.0111,2005,11,2,20.68,6,23
"948",-10.9052,34.0111,2006,10,0,0,1,2
"949",-10.9052,34.0111,2007,7,0,0,13,28
"950",-10.9052,34.0111,2008,26,0,0,7,28
"951",-10.806,34.0164,2009,50,11,23.77,0.2,4.8
"952",-10.8426,33.9933,2009,39,2,5.54,0.2,5
"953",-10.6462,34.1921,2005,10,2,24.45,7,29
"954",-10.6462,34.1921,2008,19,0,0,7,27
"955",-10.6972,34.1865,2005,12,0,0,12,29
"956",-10.6972,34.1865,2006,39,8,21.28,1,3
"957",-10.6972,34.1865,2007,19,3,19.57,8,28
"958",-10.6972,34.1865,2008,36,0,0,7,29
"959",-10.7114,34.1505,2005,10,1,11.89,6,28
"960",-10.7114,34.1505,2008,22,0,0,6,26
"961",-10.7114,34.1505,2009,54,2,4,0.2,4.9
"962",-10.7591,34.0376,2006,30,7,26.15,0,4
"963",-10.7591,34.0376,2007,26,12,59.98,9,30
"964",-10.8075,34.1091,2009,23,0,0,0.2,4.9
"965",-10.7514,34.0262,2006,16,3,20.04,1,2
"966",-10.7514,34.0262,2007,16,2,14.62,6,26
"967",-10.7453,34.1663,2006,20,6,31.13,1,3
"968",-10.7453,34.1663,2007,24,4,20.38,7,29
"969",-10.7626,34.2008,2005,11,1,10.9,6,29
"970",-10.7626,34.2008,2008,32,0,0,6,28
"971",-10.7748,34.2031,2005,12,0,0,7,29
"972",-10.7748,34.2031,2008,30,0,0,6,29
"973",-10.7748,34.2031,2009,30,0,0,0.2,4.9
"974",-10.7853,34.1831,2009,8,0,0,0.5,4.9
"975",-10.943,33.9802,2001,5,1,25.03,7.2,31.6
"976",-10.8068,34.1074,2005,10,1,12.22,7,29
"977",-10.8068,34.1074,2008,33,2,7.27,6,29
"978",-10.8647,34.0672,2009,34,0,0,0.3,4.8
"979",-10.962,34.1126,2005,8,0,0,6,29
"980",-10.962,34.1126,2006,27,6,23.05,1,3
"981",-10.962,34.1126,2007,23,0,0,7,29
"982",-10.9131,34.0278,2005,11,0,0,7,23
"983",-10.9131,34.0278,2006,18,2,11.53,1,3
"984",-10.9131,34.0278,2007,39,2,6.15,6,29
"985",-10.9131,34.0278,2008,71,0,0,7,29
"986",-10.9131,34.0278,2009,36,2,6.01,0.2,4.8
"987",-10.9432,33.9804,2006,8,0,0,1,2
"988",-10.9432,33.9804,2007,25,2,9.59,6,29
"989",-10.9498,33.9723,2009,37,1,2.97,0.1,4.9
"990",-11.0111,34.0677,2005,10,0,0,6,28
"991",-11.0111,34.0677,2008,32,0,0,6,29
"992",-11.0276,33.8701,2009,21,1,5.23,0.1,4.5
"993",-11.024,33.8738,2006,9,0,0,1,2
"994",-11.024,33.8738,2007,24,0,0,7,28
"995",-11.0261,33.8545,2005,2,0,0,20,23
"996",-11.0261,33.8545,2006,11,0,0,1,4
"997",-11.0261,33.8545,2007,21,0,0,8,25
"998",-11.0261,33.8545,2008,18,0,0,7,25
"999",-11.0261,33.8545,2009,27,3,12.2,0.1,4.4
"1000",-11.0261,33.8527,2005,1,0,0,6,6
"1001",-11.0261,33.8527,2008,31,1,3.91,7,28
"1002",-11.0273,33.8478,2006,16,3,19.45,1,3
"1003",-11.0273,33.8478,2007,11,0,0,6,29
"1004",-11.0217,33.8548,2009,15,0,0,0.3,4.3
